Date,FileName,Control,Claim_ct,x12Partner
20210709,2021-07-09-090026-batch-p4.txt,625857226,6,330897513
20210818,2021-08-18-120624-batch-p4.txt,629324384,1,330897513
20210720,2021-07-20-163237-batch-p4.txt,626834757,1,330897513
20210717,2021-07-17-033413-batch-p4.txt,626528853,19,330897513
20210809,2021-08-09-100939-batch-p4.txt,628539779,2,330897513
20210824,2021-08-24-131632-batch-p4.txt,629846992,10,330897513
20210819,2021-08-19-085716-batch-p4.txt,629399436,6,330897513
20210713,2021-07-13-134709-batch-p4.txt,626220029,1,330897513
20210728,2021-07-28-020330-batch-p4.txt,627473810,3,330897513
20210709,2021-07-09-091002-batch-p4.txt,625857802,1,330897513
20210730,2021-07-30-074735-batch-p4.txt,627667255,1,330897513
20210701,2021-07-01-202338-batch-p4.txt,625207018,54,330897513
20210705,2021-07-05-084808-batch-p4.txt,625510888,1,330897513
20210709,2021-07-09-084135-batch-p4.txt,625856095,3,330897513
20210819,2021-08-19-093241-batch-p4.txt,629401561,9,330897513
20210701,2021-07-01-200802-batch-p4.txt,625206082,1,330897513
20210810,2021-08-10-081747-batch-p4.txt,628619467,7,330897513
20210701,2021-07-01-202510-batch-p4.txt,625207110,3,330897513
20210810,2021-08-10-075956-batch-p4.txt,628618396,6,330897513
20210730,2021-07-30-073202-batch-p4.txt,627666322,2,330897513
20210709,2021-07-09-120056-batch-p4.txt,625868056,2,330897513
20210824,2021-08-24-150523-batch-p4.txt,629853523,12,330897513
20210720,2021-07-20-142742-batch-p4.txt,626827262,1,330897513
20210709,2021-07-09-090839-batch-p4.txt,625857719,1,330897513
20210706,2021-07-06-074416-batch-p4.txt,625593456,1,330897513
20210802,2021-08-02-091416-batch-p4.txt,627931656,4,330897513
20210823,2021-08-23-084846-batch-p4.txt,629744526,9,330897513
20210802,2021-08-02-104727-batch-p4.txt,627937247,2,330897513
20210813,2021-08-13-104550-batch-p4.txt,628887550,2,330897513
20210701,2021-07-01-203619-batch-p4.txt,625207779,19,330897513
20210723,2021-07-23-054005-batch-p4.txt,627054805,4,330897513
20210825,2021-08-25-091551-batch-p4.txt,629918951,20,330897513
20210726,2021-07-26-082929-batch-p4.txt,627324169,1,330897513
20210713,2021-07-13-130802-batch-p4.txt,626217682,3,330897513
20210713,2021-07-13-130546-batch-p4.txt,626217546,12,330897513
20210823,2021-08-23-124549-batch-p4.txt,629758749,10,330897513
20210714,2021-07-14-150903-batch-p4.txt,626311343,1,330897513
20210720,2021-07-20-142448-batch-p4.txt,626827088,14,330897513
20210715,2021-07-15-150707-batch-p4.txt,626397627,2,330897513
20210708,2021-07-08-091112-batch-p4.txt,625771472,10,330897513
20210803,2021-08-03-080531-batch-p4.txt,628013931,10,330897513
20210713,2021-07-13-132425-batch-p4.txt,626218665,2,330897513
20210809,2021-08-09-092132-batch-p4.txt,628536892,6,330897513
20210817,2021-08-17-085228-batch-p4.txt,629226348,15,330897513
20210825,2021-08-25-100219-batch-p4.txt,629921739,2,330897513
20210823,2021-08-23-150012-batch-p4.txt,629766812,7,330897513
20210727,2021-07-27-104154-batch-p4.txt,627418514,4,330897513
20210824,2021-08-24-115834-batch-p4.txt,629842314,14,330897513
20210723,2021-07-23-052427-batch-p4.txt,627053867,5,330897513
20210720,2021-07-20-150627-batch-p4.txt,626829587,3,330897513
20210823,2021-08-23-094632-batch-p4.txt,629747992,3,330897513
20210709,2021-07-09-115110-batch-p4.txt,625867470,5,330897513
20210802,2021-08-02-100930-batch-p4.txt,627934970,2,330897513
20210728,2021-07-28-121915-batch-p4.txt,627510755,1,330897513
20210802,2021-08-02-095111-batch-p4.txt,627933871,5,330897513
20210812,2021-08-12-103151-batch-p4.txt,628800311,2,330897513
